unix_time,pm2.5,Car,Motor
2022-04-19 08:10:00,33.85,224,249
2022-04-19 08:20:00,34.666666666666664,289,232
2022-04-19 08:30:00,30.966666666666665,228,202
2022-04-19 08:40:00,31.262295081967213,238,269
2022-04-19 08:50:00,35.49152542372882,287,227
2022-04-19 09:00:00,39.8,268,201
2022-04-19 09:10:00,37.21666666666667,216,166
2022-04-19 09:20:00,34.2,241,200
2022-04-19 09:30:00,39.93333333333333,181,202
2022-04-19 09:40:00,50.18333333333333,198,143
2022-04-19 09:50:00,50.63333333333333,208,105
2022-04-19 10:00:00,45.5,180,119
2022-04-19 10:10:00,48.016666666666666,207,118
2022-04-19 10:20:00,51.459016393442624,167,140
2022-04-19 10:30:00,43.71666666666667,172,143
2022-04-19 10:40:00,41.69491525423729,131,159
2022-04-19 10:50:00,40.11666666666667,114,199
2022-04-19 11:00:00,44.442622950819676,111,188
2022-04-19 11:10:00,44.49152542372882,134,181
2022-04-19 11:20:00,46.40983606557377,95,194
2022-04-19 11:30:00,46.16949152542373,108,176
2022-04-19 11:40:00,47.65,69,160
2022-04-19 11:50:00,46.016666666666666,73,179
2022-04-19 12:00:00,46.266666666666666,39,138
2022-04-19 12:10:00,48.38333333333333,69,160
2022-04-19 12:20:00,50.93333333333333,73,179
2022-04-19 12:30:00,51.55,39,138
2022-04-19 12:40:00,48.75,73,135
2022-04-19 12:50:00,47.1,113,117
2022-04-19 13:00:00,49.95,174,117
2022-04-19 13:10:00,49.81666666666667,68,117
2022-04-19 13:20:00,46.96666666666667,73,113
2022-04-19 13:30:00,46.75,53,103
2022-04-19 13:40:00,45.7,73,96
2022-04-19 13:50:00,41.916666666666664,80,70
2022-04-19 14:00:00,42.2,72,97
2022-04-19 14:10:00,41.50819672131148,50,82
2022-04-19 14:20:00,38.271186440677965,44,59
2022-04-19 14:30:00,37.5,44,55
2022-04-19 14:40:00,36.721311475409834,59,82
2022-04-19 14:50:00,35.644067796610166,47,44
2022-04-19 15:00:00,35.516666666666666,63,45
2022-04-19 15:10:00,37.483333333333334,43,61
2022-04-19 15:20:00,41.733333333333334,36,63
2022-04-19 15:30:00,47.28333333333333,45,52
2022-04-19 15:40:00,46.416666666666664,122,65
2022-04-19 15:50:00,43.7,45,57
2022-04-19 16:00:00,40.78333333333333,65,57
2022-04-19 16:10:00,45.38333333333333,39,53
2022-04-19 16:20:00,45.083333333333336,30,45
2022-04-19 16:30:00,46.6,18,72
2022-04-19 16:40:00,46.56666666666667,28,68
2022-04-19 16:50:00,43.6,43,56
2022-04-19 17:00:00,39.18333333333333,33,87
2022-04-19 17:10:00,35.233333333333334,57,64
2022-04-19 17:20:00,31.55,52,76
2022-04-19 17:30:00,24.7,53,83
2022-04-19 17:40:00,24.266666666666666,46,81
2022-04-19 17:50:00,23.183333333333334,50,112
2022-04-19 18:00:00,25.333333333333332,61,123
2022-04-19 18:10:00,26.6,54,105
2022-04-19 18:20:00,25.25,66,139
2022-04-19 18:30:00,24.483333333333334,85,139
2022-04-19 18:40:00,25.683333333333334,125,174
2022-04-19 18:50:00,26.316666666666666,161,192
2022-04-19 19:00:00,27.78688524590164,132,177
2022-04-19 19:10:00,23.491525423728813,118,179
2022-04-19 19:20:00,23.966666666666665,127,157
2022-04-19 19:30:00,25.116666666666667,165,111
2022-04-19 19:40:00,25.2,130,121
